survey_year,cell_unit,from,to,distance_m
2020,C0273_U2,V2,V1,2.2385857671896106
2020,C0273_U2,V2,V3,39.11777966587709
2020,C0273_U2,V3,V1,41.30038676732445
2020,C0273_U2,V3,V2,39.11777966587709
2020,C0273_U3,V1,V2,5.656097153307558
2020,C0273_U3,V1,V3,20.13733173607099
2020,C0273_U3,V2,V1,5.656097153307558
2020,C0273_U3,V2,V3,17.112438498025515
2020,C0273_U3,V3,V1,20.13733173607099
2020,C0273_U3,V3,V2,17.112438498025515
2020,C0274_U1,V1,V2,15.061726164116358
2020,C0274_U1,V1,V3,17.061521671558275
2020,C0274_U1,V2,V1,15.061726164116358
2020,C0274_U1,V2,V3,2.828048575314022
2020,C0274_U1,V3,V1,17.061521671558275
2020,C0274_U1,V3,V2,2.828048575314022
2020,C0274_U2,V1,V2,8.595582167726944
2020,C0274_U2,V1,V3,11.022457756091294
2020,C0274_U2,V2,V1,8.595582167726944
2020,C0274_U2,V2,V3,7.21614588983902
2020,C0274_U2,V3,V1,11.022457756091294
2020,C0274_U2,V3,V2,7.21614588983902
2020,C0274_U3,V1,V2,10.216024072119788
2020,C0274_U3,V1,V3,2.2384792560322078
2020,C0274_U3,V2,V1,10.216024072119788
2020,C0274_U3,V2,V3,8.55623907657244
2020,C0274_U3,V3,V1,2.2384792560322078
2020,C0274_U3,V3,V2,8.55623907657244
2020,C0275_U1,V1,V2,2.233207118060637
2020,C0275_U1,V1,V3,5.39235039120529
2020,C0275_U1,V2,V1,2.233207118060637
2020,C0275_U1,V2,V3,6.01145806626947
2020,C0275_U1,V3,V1,5.39235039120529
2020,C0275_U1,V3,V2,6.01145806626947
2020,C0275_U2,V1,V2,6.093774572084672
2020,C0275_U2,V1,V3,29.6946045802011
2020,C0275_U2,V2,V1,6.093774572084672
2020,C0275_U2,V2,V3,26.604079535797624
2020,C0275_U2,V3,V1,29.6946045802011
2020,C0275_U2,V3,V2,26.604079535797624
2020,C0275_U3,V1,V2,21.252177925919078
2020,C0275_U3,V1,V3,12.799729979063446
2020,C0275_U3,V2,V1,21.252177925919078
2020,C0275_U3,V2,V3,14.779301846360921
2020,C0275_U3,V3,V1,12.799729979063446
2020,C0275_U3,V3,V2,14.779301846360921
2020,C0276_U1,V1,V2,7.0567826118795365
2020,C0276_U1,V1,V3,10.784720946949248
2020,C0276_U1,V2,V1,7.0567826118795365
2020,C0276_U1,V2,V3,14.205187221971867
2020,C0276_U1,V3,V1,10.784720946949248
2020,C0276_U1,V3,V2,14.205187221971867
2020,C0276_U2,V1,V2,11.165478628295798
2020,C0276_U2,V1,V3,32.23881797880835
2020,C0276_U2,V2,V1,11.165478628295798
2020,C0276_U2,V2,V3,41.640047760279344
2020,C0276_U2,V3,V1,32.23881797880835
2020,C0276_U2,V3,V2,41.640047760279344
2020,C0276_U3,V1,V2,8.953957873294708
2020,C0276_U3,V1,V3,19.679016687615526
2020,C0276_U3,V2,V1,8.953957873294708
2020,C0276_U3,V2,V3,11.066043039107933
2020,C0276_U3,V3,V1,19.679016687615526
2020,C0276_U3,V3,V2,11.066043039107933
2020,C0277_U1,V1,V2,3.6025253783008964
2020,C0277_U1,V1,V3,8.530054114319002
2020,C0277_U1,V2,V1,3.6025253783008964
2020,C0277_U1,V2,V3,11.022371801909149
2020,C0277_U1,V3,V1,8.530054114319002
2020,C0277_U1,V3,V2,11.022371801909149
2020,C0277_U2,V1,V2,16.978874122384436
2020,C0277_U2,V1,V3,3.991565529444695
2020,C0277_U2,V2,V1,16.978874122384436
2020,C0277_U2,V2,V3,13.591334355903312
2020,C0277_U2,V3,V1,3.991565529444695
2020,C0277_U2,V3,V2,13.591334355903312
2020,C0277_U3,V1,V2,4.476988215758369
2020,C0277_U3,V1,V3,12.042898721695023
2020,C0277_U3,V2,V1,4.476988215758369
2020,C0277_U3,V2,V3,7.80642208748848
2020,C0277_U3,V3,V1,12.042898721695023
2020,C0277_U3,V3,V2,7.80642208748848
2020,C0306_U1,V1,V2,7.069792302376841
2020,C0306_U1,V2,V1,7.069792302376841
2020,C0306_U2,V1,V2,39.91990141835407
2020,C0306_U2,V2,V1,39.91990141835407
2020,C0306_U3,V1,V2,5.001886346044667
